Original_insults,regex,insult_name,regex2
abortera,aborter[a-z]+,Abortera,\baborter[a-z]+\b
absolutista,absolutist[a-z]+,Absolutista,\babsolutist[a-z]+\b
agrogarcas,agrogarc[a-z]+,Agrogarca,\bagrogarc[a-z]+\b
alacranes,alacran[a-z]*,Alacran,\balacran[a-z]*\b
alcahueta,alcahuet[a-z]+,Alcahuetx,\balcahuet[a-z]+\b
alcahuete,alcahuet[a-z]+,Alcahuetx,\balcahuet[a-z]+\b
alcahuetes,alcahuet[a-z]+,Alcahuetx,\balcahuet[a-z]+\b
acahuete,alcahuet[a-z]+,Alcahuetx,\balcahuet[a-z]+\b
amoral,amoral,Amoral,\bamoral\b
analfabetos,analfabet[a-z]+,Analfabetx,\banalfabet[a-z]+\b
te vas a cagar,(va.*|anda.*) a cagar,Anda_a_cagar,\b(va.*|anda.*) a cagar\b
anda a cagar,anda a * cagar,Anda_a_cagar,\banda a * cagar\b
por que no te vas a la m,(vas|van|va) a la m,Anda_a_la_mierda,\b(vas|van|va) a la m\b
ponete a laburar,(ponete|pongase|ponganse) a laburar,Anda_a_laburar,\b(ponete|pongase|ponganse) a laburar\b
anda a laburar,anda a laburar,Anda_a_laburar,\banda a laburar\b
garralapala,garralapala,Anda_a_laburar,\bgarralapala\b
animal rastrero,animal[a-z]*,Animal,\banimal[a-z]*\b
animales,animal[a-z]*,Animal,\banimal[a-z]*\b
kakerto,kakert[a-z]+,Anti-k,\bkakert[a-z]+\b
kakismo,kakismo[s]?,Anti-k,\bkakismo[s]?\b
kernerismo,kerneris[a-z]+,Anti-k,\bkerneris[a-z]+\b
kernerista,kerneris[a-z]+,Anti-k,\bkerneris[a-z]+\b
kk,kk[s]?,Anti-k,\bkk[s]?\b
kks,kk[s]?,Anti-k,\bkk[s]?\b
kuk4r4cha,kuk[a-z0-9]+,Anti-k,\bkuk[a-z0-9]+\b
kukas,kuk[a-z0-9]+,Anti-k,\bkuk[a-z0-9]+\b
kumpas,kump[a-z]+,Anti-k,\bkump[a-z]+\b
antiderechos,antiderechos,Antiderechos,\bantiderechos\b
antirepublica,antirepublica,Antirepublica,\bantirepublica\b
argolludas,argollud[a-z]+,Argolluda,\bargollud[a-z]+\b
arpia,arpia[s]?,Arpia,\barpia[s]?\b
arrastrado,arrastrad[a-z]+,Arrastradx,\barrastrad[a-z]+\b
arrastrada,arrastrad[a-z]+,Arrastradx,\barrastrad[a-z]+\b
asco,asco,Asco,\basco\b
asco de ser humano,asco de ser humano,Asco,\basco de ser humano\b
asco de tipo,asco de tip[a-z]+,Asco,\basco de tip[a-z]+\b
asesina,asesin[a-z]+,Asesinx,\basesin[a-z]+\b
asesines,asesin[a-z]+,Asesinx,\basesin[a-z]+\b
asesino,asesin[a-z]+,Asesinx,\basesin[a-z]+\b
asesinos,asesin[a-z]+,Asesinx,\basesin[a-z]+\b
asquerosa,asqueros[a-z]*,Asquerosx,\basqueros[a-z]*\b
asqueroso,asqueros[a-z]*,Asquerosx,\basqueros[a-z]*\b
atorranta,atorrant[a-z]+,Atorrantx,\batorrant[a-z]+\b
atorrante,atorrant[a-z]+,Atorrantx,\batorrant[a-z]+\b
atorrantes,atorrant[a-z]+,Atorrantx,\batorrant[a-z]+\b
atorrantitos,atorrant[a-z]+,Atorrantx,\batorrant[a-z]+\b
atracadores,atracador[a-z]*,Atracadorx,\batracador[a-z]*\b
aves carroñeras,ave[s]? carroñera[s]?,Ave_carroñera,\bave[s]? carroñera[s]?\b
babosa,babos[a-z]+,Babosx,\bbabos[a-z]+\b
bajate del pony,bajate del pony,Bajate_del_pony,\bbajate del pony\b
baate,baate,Baate,\bbaate\b
bandidos,bandid[a-z]+,Bandidx,\bbandid[a-z]+\b
bastarda,bastard[a-z]+,Bastardx,\bbastard[a-z]+\b
bastardo,bastard[a-z]+,Bastardx,\bbastard[a-z]+\b
bastardos,bastard[a-z]+,Bastardx,\bbastard[a-z]+\b
basura,basura[s]?,Basura,\bbasura[s]?\b
basuras,basura[s]?,Basura,\bbasura[s]?\b
basura humana,basura[s]? humana[?],Basura,\bbasura[s]? humana[?]\b
basuras humanas,basura[s]? humana[?],Basura,\bbasura[s]? humana[?]\b
son basura,so[n|s].*basu.*a,Basura,\bso[n|s].*basu.*a\b
berreta,berreta[s]?,Berreta,\bberreta[s]?\b
bicho,bich[a-z]+,Bichx,\bbich[a-z]+\b
bichos,bich[a-z]+,Bichx,\bbich[a-z]+\b
bipolar,bipolar[a-z]*,Bipolar,\bbipolar[a-z]*\b
boba,bob[a-z]+,Bobx,\bbob[a-z]+\b
bobo,bob[a-z]+,Bobx,\bbob[a-z]+\b
bobos,bob[a-z]+,Bobx,\bbob[a-z]+\b
inmunda bolsa de pus,inmund[a-z]+,Bolsa_de_pus,\binmund[a-z]+\b
boluda,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
boludex,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
boludin,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
boludo,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
boludos,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
flor de boludo,bolud[a-z]+,Boludx,\bbolud[a-z]+\b
globoluda,globol[a-z]+,Boludx_anti-M,\bglobol[a-z]+\b
globoludos,globol[a-z]+,Boludx_anti-M,\bglobol[a-z]+\b
bombazo,bombazo,Bombazo,\bbombazo\b
borregos,borreg[a-z]+,Borregx,\bborreg[a-z]+\b
bostas,bosta[s]?,Bosta,\bbosta[s]?\b
bruta,brut[a-z]+,Brutx,\bbrut[a-z]+\b
bruto,brut[a-z]+,Brutx,\bbrut[a-z]+\b
buena para nada,buen[a-z]+ para nada,Buenx_para_nada,\bbuen[a-z]+ para nada\b
burra,burr[a-z]+,Burrx,\bburr[a-z]+\b
burro,burr[a-z]+,Burrx,\bburr[a-z]+\b
burros,burr[a-z]+,Burrx,\bburr[a-z]+\b
cabecita hueca,cabe[a-z]+[(de )]+[(hueca)|(termo)]+,Cabeza_hueca,\bcabe[a-z]+[(de )]+[(hueca)|(termo)]+\b
cabeza de termo,cabe[a-z]+[(de )]+[(hueca)|(termo)]+,Cabeza_hueca,\bcabe[a-z]+[(de )]+[(hueca)|(termo)]+\b
cabezas de termo,cabe[a-z]+[(de )]+[(hueca)|(termo)]+,Cabeza_hueca,\bcabe[a-z]+[(de )]+[(hueca)|(termo)]+\b
cagadores,cagador[a-z]+,Cagadorx,\bcagador[a-z]+\b
cagon,cagon[a-z]*,Cagonx,\bcagon[a-z]*\b
callate,call[a-z]+( la)?( boca)?,Callate,\bcall[a-z]+( la)?( boca)?\b
callese,call[a-z]+( la)?( boca)?,Callate,\bcall[a-z]+( la)?( boca)?\b
callese la boca,call[a-z]+( la)?( boca)?,Callate,\bcall[a-z]+( la)?( boca)?\b
canalla,canall[a-z]+,Canalla,\bcanall[a-z]+\b
canallas,canall[a-z]+,Canalla,\bcanall[a-z]+\b
sos el cancer del pais,so[n|s].*(cancer),Cancer,\bso[n|s].*(cancer)\b
cancer a extirpar,cancer a extirpar,Cancer_a_extirpar,\bcancer a extirpar\b
cancherita superada,cancherit[a-z]+ superad[a-z]+,Cancherx,\bcancherit[a-z]+ superad[a-z]+\b
k-po,k-po,Capo,\bk-po\b
caprichosa,caprichos[a-z]+,Caprichosx,\bcaprichos[a-z]+\b
caprichosos,caprichos[a-z]+,Caprichosx,\bcaprichos[a-z]+\b
cara de adoquin,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara de amianto,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara de ogt,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara de piedra,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara de piera,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara de titanio sin moral,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
cara piedra,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
caras de piedra,cara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?,Cara_de_*,\bcara[s]?[(de )]+[(adoquin)|(amianto)|(ogt)|(ojete)|(piedra)|(orto)|(titano)]+[s]?\b
caracol,caracol,Caracol,\bcaracol\b
cara dura,cara( )?dura(s)?,Caradura,\bcara( )?dura(s)?\b
cara rota,cara( )?rota(s)?,Caradura,\bcara( )?rota(s)?\b
cara rota de piedra,cara( )?rota(s)?,Caradura,\bcara( )?rota(s)?\b
caradura,cara( )?dura(s)?,Caradura,\bcara( )?dura(s)?\b
caraduras,cara( )?dura(s)?,Caradura,\bcara( )?dura(s)?\b
cararrota,cararrota[s]?,Caradura,\bcararrota[s]?\b
karadura,karadura,Caradura_anti-K,\bkaradura\b
carroñas,carroña(s)?,Carroña,\bcarroña(s)?\b
casta inmunda,casta .* inmunda,Casta_inmunda,\bcasta .* inmunda\b
casta politica inmunda,casta .* inmunda,Casta_inmunda,\bcasta .* inmunda\b
catador de waska,catador[a-z]* de waska,Catadorx_de_waska,\bcatador[a-z]* de waska\b
cerda,cerd[a-z]+,Cerdx,\bcerd[a-z]+\b
cerdas socialistas,cerd[a-z]+,Cerdx,\bcerd[a-z]+\b
cerra el orto,cerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
cerra el pico,cerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
cerra el upite,cerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
cerrando el orto,cerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcerra[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
cerra la boca,cerra[a-z]+[(la )]+[(boca)]+,Cerra_el_orto,\bcerra[a-z]+[(la )]+[(boca)]+\b
